Modelo,Acurácia Média,Acurácia Desvio,Precisão Média,Precisão Desvio,Recall Média,Recall Desvio,F1-Score Média,F1-Score Desvio,AUC-ROC Média,AUC-ROC Desvio,MCC Média,MCC Desvio
Random Forest,0.8531400966183575,0.015757977227343085,0.8636120774760055,0.040318514120167764,0.576271186440678,0.04151677530140981,0.6905120108097288,0.037237469607202624,0.8547182775996335,0.02509732154977989,0.6208672413946176,0.04459644698775629
SVM,0.8386473429951691,0.0215179299046571,0.8182983682983682,0.038984925124427944,0.5559322033898304,0.054025008306810944,0.6616603923122646,0.05014900629298335,0.8281722400366469,0.024276095610536536,0.5792253551967395,0.059973445685062785
MLP,0.8154589371980677,0.01656659729418573,0.6830846877774144,0.050730347358914865,0.6813559322033897,0.06006794964972663,0.6777694025538168,0.011588744933764755,0.8208428767750802,0.0186094259818134,0.5528554997453263,0.015787116818000355
XGBoost,0.8376811594202899,0.02173376208541447,0.789799610973121,0.04539754347713708,0.5864406779661017,0.059297815879782695,0.6719748059590389,0.051359609386884844,0.8362116353641778,0.024556998863070986,0.5792686263201563,0.060849533910085137
LightGBM,0.8492753623188406,0.018178635480412333,0.803190413699632,0.03738392275515872,0.6237288135593222,0.039240125094204145,0.7019946091644205,0.038066340393254204,0.8409184608337151,0.020349194549405376,0.6120462788749912,0.048983208938008255
CatBoost,0.8386473429951691,0.015153997238027189,0.7889620457062317,0.05744283492133608,0.6,0.025367168723891106,0.6798936204300041,0.01999548942728354,0.8365437471369674,0.02024125037447919,0.5855916632325959,0.035702080266149454
