iter	Passed	Remaining
421	2336	3200
422	2341	3194
423	2347	3189
424	2353	3183
425	2358	3178
426	2363	3172
427	2369	3166
428	2374	3161
429	2380	3155
430	2385	3149
431	2391	3144
432	2396	3138
433	2402	3133
434	2408	3127
435	2413	3121
436	2418	3116
437	2424	3110
438	2430	3105
439	2435	3099
440	2440	3093
441	2446	3088
442	2451	3082
443	2457	3077
444	2464	3073
445	2469	3067
446	2475	3061
447	2480	3056
448	2486	3051
449	2492	3045
450	2498	3040
451	2503	3035
452	2509	3029
453	2514	3024
454	2520	3018
455	2525	3012
456	2530	3007
457	2536	3001
458	2541	2996
459	2547	2990
460	2553	2985
461	2558	2979
462	2563	2973
463	2569	2968
464	2574	2962
465	2580	2957
466	2586	2951
467	2591	2945
468	2597	2940
469	2603	2935
470	2608	2929
471	2613	2923
472	2619	2918
473	2624	2912
474	2630	2907
475	2635	2901
476	2642	2897
477	2647	2891
478	2652	2885
479	2658	2879
480	2663	2874
481	2669	2868
482	2674	2862
483	2680	2857
484	2685	2851
485	2692	2847
486	2699	2843
487	2706	2839
488	2711	2833
489	2717	2828
490	2723	2823
491	2728	2817
492	2734	2811
493	2739	2806
494	2745	2800
495	2751	2795
496	2756	2789
497	2761	2784
498	2767	2778
499	2772	2772
500	2777	2766
501	2783	2761
502	2788	2755
503	2794	2750
504	2800	2744
505	2806	2739
506	2811	2733
507	2816	2728
508	2823	2723
509	2828	2717
510	2834	2711
511	2839	2706
512	2845	2700
513	2850	2695
514	2855	2689
515	2861	2683
516	2866	2677
517	2871	2672
518	2877	2666
519	2882	2661
520	2888	2655
521	2893	2649
522	2899	2644
523	2904	2638
524	2911	2634
525	2916	2628
526	2921	2622
527	2927	2616
528	2932	2611
529	2938	2605
530	2944	2600
531	2949	2594
532	2955	2589
533	2960	2583
534	2966	2577
535	2971	2572
536	2976	2566
537	2982	2561
538	2987	2555
539	2993	2549
540	2998	2544
541	3004	2539
542	3011	2534
543	3018	2529
544	3023	2524
545	3030	2519
546	3036	2514
547	3041	2508
548	3047	2503
549	3052	2497
550	3057	2491
551	3063	2486
552	3069	2480
553	3074	2475
554	3080	2469
555	3085	2464
556	3091	2459
557	3098	2454
558	3104	2449
559	3111	2444
560	3116	2438
561	3122	2433
562	3127	2427
563	3133	2422
564	3140	2417
565	3145	2412
566	3152	2407
567	3158	2402
568	3164	2397
569	3170	2392
570	3176	2386
571	3181	2380
572	3187	2375
573	3192	2369
574	3198	2364
575	3203	2358
576	3209	2352
577	3214	2346
578	3219	2341
579	3225	2335
580	3231	2330
581	3236	2324
582	3241	2318
583	3247	2313
584	3253	2307
585	3258	2302
586	3263	2296
587	3269	2290
588	3274	2285
589	3280	2279
590	3285	2274
591	3291	2268
592	3296	2262
593	3302	2257
594	3307	2251
595	3312	2245
596	3318	2239
597	3323	2234
598	3328	2228
599	3334	2222
600	3339	2217
601	3345	2211
602	3351	2206
603	3358	2201
604	3364	2196
605	3369	2190
606	3375	2185
607	3380	2179
608	3386	2174
609	3392	2168
610	3397	2163
611	3403	2157
612	3408	2151
613	3414	2146
614	3419	2140
615	3425	2135
616	3431	2130
617	3437	2124
618	3442	2119
619	3448	2113
620	3453	2107
621	3459	2102
622	3465	2097
623	3470	2091
624	3476	2085
625	3481	2080
626	3486	2074
627	3492	2068
628	3498	2063
629	3504	2058
630	3509	2052
631	3514	2046
632	3520	2041
633	3525	2035
634	3531	2029
635	3536	2024
636	3541	2018
637	3547	2013
638	3553	2007
639	3559	2002
640	3565	1996
641	3570	1990
642	3576	1985
643	3581	1979
644	3587	1974
645	3593	1969
646	3598	1963
647	3604	1957
648	3609	1952
649	3615	1946
650	3621	1941
651	3626	1935
652	3631	1929
653	3637	1924
654	3642	1918
655	3647	1912
656	3653	1907
657	3658	1901
658	3663	1895
659	3669	1890
660	3674	1884
661	3680	1878
662	3685	1873
663	3691	1867
664	3696	1862
665	3702	1856
666	3707	1850
667	3712	1845
668	3718	1839
669	3723	1833
670	3728	1828
671	3734	1822
672	3739	1817
673	3745	1811
674	3751	1806
675	3756	1800
676	3762	1794
677	3767	1789
678	3773	1783
679	3778	1778
680	3784	1772
681	3789	1766
682	3794	1761
683	3800	1755
684	3805	1750
685	3810	1744
686	3817	1739
687	3823	1733
688	3828	1728
689	3833	1722
690	3839	1716
691	3844	1711
692	3850	1705
693	3855	1700
694	3861	1694
695	3866	1688
696	3871	1683
697	3877	1677
698	3882	1671
699	3887	1666
700	3893	1660
701	3898	1654
